site,a1,a2,a3,a4,a5,xo,yo,wx,wy,wz,K1,phi,lat,lon
SIRTA_OLD,227.5833393941008,-11.555854636670334,-1.4560654755400215,2.9858631031085383,-0.770610653834105,384.6131184331552,518.8766013083392,-0.0426228530064794,-0.0004808951705183,-0.0012537348488917,-0.0007266633436302,0.2222792039547095,48.713,2.208
SIRTA,224.52563991858773,-6.516473237214135,-4.746737612190556,4.1570436992901225,-0.9567051058514116,384.72316363925313,518.5298473242665,-0.0428219173784752,0.0060939237139654,0.0034933983789092,0.000624032429956,0.2790851907390442,48.713,2.208
Orsay,0.3390824468057503,-0.0158329802718186,0.0042674877046497,-0.0032828755953302,0.0004442546529924,610.333,483.068,2.47644,2.8977,1.89335,0.0018053,5.03026,48.706433,2.179331
ORSAY_OLD,0.3390834087789269,-0.0158372797374064,0.0042744651602594,-0.0032869800586722,0.0004450416044631,610.34,483.067,0.0216111031305067,0.025287377400445,0.0165227702292425,0.00180071,0.0439004412083385,48.706433,2.179331
SIRTA_W,0.004453834292094883,2.564235254518742e-09,4.1447234720945385e-14,-4.546349745057689e-19,5.455115354142721e-25,384.72316363925313,518.5298473242665,-0.0428219173784752,0.0060939237139654,0.0034933983789092,0.000624032429956,0.2790851907390442,48.713,2.208
